Project_Name,Project_Registration_No,Project_Details,Districts,Latitude,Longitude,Usage,Type_of_Building,Site_Extent_Sqm,FSI_LIG_Residential,FSI_Other_Residential,FSI_Commercial,Total_Dwelling_Units,Land_Cost,Construction_Cost,Other_Cost,Total_Project_Cost,Covered_Parking,Open_Parking,Visitor_Parking,Floor_mentions,Heights_m,FE_Site_Extent_Sqft,FE_Total_FSI_Area_Sqft,FE_FSI,FE_Permissable_FSI,FE_Max_Premium_FSI,FE_Total_Parking,FE_Land_Cost_per_Sqft,FE_Construction_Cost_per_Sqft,FE_Total_Project_Cost_per_Sqft,FE_Land_Cost_Ratio,FE_Construction_Cost_Ratio,FE_Cost_Per_Dwelling_Unit,FE_Average_Unit_Size_Sqft,Is_TNUHDB_TNHB,Is_Dwelling_Units_Hardcoded,Is_FSI_Imputed_From_Comparable_Avg,Coord_Was_Corrupted,Is_Coordinates_Hardcoded,District,Usage_clean,FSI_outlier_flag,Imputed_Car_Parking,Parking_was_imputed,Is_Construction_Cost_Below_Floor,Is_Construction_Cost_Imputed
CRT Magilagam,TN/10/Building/0519/2024,"Ward-E,Block-21,TS No.2/3,Periyar Nagar,Erode Tk & Dt.",Erode,11.335912,77.725072,Residential,Non-High Rise Building (NHRB),1149,0,3150,,30,24731214,111271043,16491620,152493877,22,6,3,[],[],12370,33906,2.74,2.0,2.0,31,1999,3282.0,4498,0.16,0.73,5083129,1130,False,False,False,0,False,Erode,Residential,False,,False,False,False
Mayflower East Gate,TN/11/Building/0301/2024,"Old S.F.No.418/2pt,New T.S.No.5/1,Block.07,Ward No.Z(26) of Vilankurichi Village,Coimbatore District",Coimbatore,11.2192,77.1134,Residential,High Rise Building (HRB),2230,,6260,,42,80000000,230000000,15982769,325982769,27,15,42,[],[],24003,67383,2.81,2.0,4.87,84,3333,3413.0,4838,0.25,0.71,7761494,1604,False,False,False,0,False,Coimbatore,Residential,False,,False,False,False
PNR MODERNA,TN/11/Building/0344/2024,"SF NO 129/4B, RANI GARDEN, 3RD STREET,SINGANALLUR VILLAGE,COIMBATORE-641016",Coimbatore,11.006265,77.042583,Residential,Non-High Rise Building (NHRB),720,,1818,,14,26016000,43747218,11130881,80894099,16,0,0,[],[],7750,19572,2.53,2.0,2.0,16,3357,2235.0,4133,0.32,0.54,5778150,1398,False,False,False,0,False,Coimbatore,Residential,False,,False,False,False
SHRESTHA VILLAS https://rera.tn.gov.in/public-view2/building/pfirm/80a61310-f764-11ee-8e6b-99b0290eb824,TN/11/Building/0346/2024,"Block1: Ground Floor + 1st Floor with 4 Villas, Block 2:Ground Floor + 1st Floor with 11 Villas, Block 3:Ground Floor + 1st Floor with 11 Villas, Block 4:Ground Floor + 1st Floor with 11 Villas, Block 11:Ground Floor + 1st Floor with 09 Villas, Block 12:Ground Floor + 1st Floor with 09 Villas, Block 17:Ground Floor + 1st Floor with 09 Villas, Block 18:Ground Floor + 1st Floor with 09 Villas, Block 23:Ground Floor + 1st Floor with 09 Villas, Block 24:Ground Floor + 1st Floor with 09 Villas, Block 27:Ground Floor + 1st Floor with 12 Villas, Block 28:Ground Floor + 1st Floor with 09 Villas, Block 29:Ground Floor + 1st Floor with 09 Villas, Block 30:Ground Floor + 1st Floor with 09 Villas, Block 31:Ground Floor + 1st Floor with 09 Villas, Block 32:Ground Floor + 1st Floor with 12 Villas, Block 33:Ground Floor + 1st Floor with 09 Villas, Block 34:Ground Floor + 1st Floor with 09",Coimbatore,10.511,10.574,Residential,Non-High Rise Building (NHRB),81550,,16100,,400,1200000000,0,0,1200000000,246,0,0,"[{'block': 'Block 2', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 3', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 4', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 11', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 12', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 17', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 18', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 23', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 24', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 27', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 28', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 29', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 30', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 31', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 32', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 33', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 34', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}]",[],877796,173299,0.2,2.0,2.0,246,1367,3307.0,6924,1.0,0.0,3000000,433,False,False,False,0,False,Coimbatore,Residential,False,,False,True,True
ADHYA,TN/11/Building/0353/2024,"Adhya, SF.NO:577/1B2A, Chinnavedampatti Village, Coimbatore North Taluk, Coimbatore Corporation, Coimbatore District.",Coimbatore,11.04304,76.59039,Residential,Non-High Rise Building (NHRB),5047,,14025,,200,54450000,835820000,3000000,893270000,95,0,13,[],[],54324,150965,2.78,2.0,2.0,108,1002,5537.0,5917,0.06,0.94,4466350,755,False,False,False,0,False,Coimbatore,Residential,False,,False,False,False
REGAL VILLAS,TN/11/Building/0361/2024,Villa ( Group development),Coimbatore,11.00403,77.02425,Residential,Non-High Rise Building (NHRB),2349,,2022,,18,75851295,60624219,12000000,148475514,0,19,3,[],[],25284,21768,0.86,2.0,2.0,22,3000,2785.0,6821,0.51,0.41,8248640,1209,False,False,False,0,False,Coimbatore,Residential,False,,False,False,False
COROMANDEL ENCLAVE,TN/11/Building/0363/2024,"SF NO.398/1, WARD-34, BLOCK -1, TSNO.25/3B,UPPILIPALAYAM VILLAGE, COIMBATORE EAST, COIMBATORE",Coimbatore,11.004850000000001,77.0138,Residential,Non-High Rise Building (NHRB),10168,,5853,404,100,120000000,152500000,44642575,317142575,64,12,0,[],[],109443,67349,0.62,2.0,2.0,76,1096,2264.0,4709,0.38,0.48,3171426,630,False,False,False,1,False,Coimbatore,Residential,False,,False,False,False
Ananyas Nana Nani Homes Phase 9,TN/11/Building/0372/2024,Construction of residential Building,Coimbatore,11.054526,76.899453,Residential,High Rise Building (HRB),36418,,22947,3460,89,301200000,1700000000,100000000,2101200000,178,143,22,[],[],392004,284238,0.73,2.0,4.87,343,768,5981.0,7392,0.14,0.81,23608989,2775,False,False,False,0,False,Coimbatore,Residential,False,,False,False,False
UNITD 49,TN/11/Building/0382/2024,3 BLOCKS-EACH BLOCK CONSISTS OF STILT+ FLOORS-TOTAL 190 UNITS- LOCATED IN CHINNAVEDAMPATTI VILLAGE,Coimbatore,11.079439,76.977709,Residential,Non-High Rise Building (NHRB),8675,,17617,,190,200000000,519742460,23128090,742870550,147,1,0,"[{'block': None, 'base_level': 'Stilt', 'floor_segments': [], 'total_floors_above_base': 0}]",[],93377,189626,2.03,2.0,2.0,148,2142,2741.0,3918,0.27,0.7,3909845,998,False,False,False,0,False,Coimbatore,Residential,False,,False,False,False
Tanny's Cauvery Comspace,TN/11/Building/0400/2024,Basement+Stilt+5 Floors of Professional Consulting (Commercial) Office at RS Puram.,Coimbatore,11.015088,76.950905,Commercial,Non-High Rise Building (NHRB),928,,,2592,,34961500,78324000,7832400,121117900,22,0,2,"[{'block': None, 'base_level': 'Basement', 'floor_segments': ['5 Floors'], 'total_floors_above_base': 5}]",[],9989,27900,2.79,2.0,2.0,24,3500,2807.0,4341,0.29,0.65,,,False,False,False,0,False,Coimbatore,Commercial,False,,False,False,False
