Source_File,Project_Name,Project_Details,Type_of_Building,Usage,Site_Extent_Sqm,Total_Dwelling_Units,Stage_of_Construction,Project_Completion_Date,Latitude,Longitude,Covered_Parking,Open_Parking,Visitor_Parking,Land_Cost,Construction_Cost,Other_Cost,Total_Project_Cost,FSI_LIG_Residential,FSI_Other_Residential,FSI_Commercial,Heights_m,Floor_mentions,Districts,_missing_fields
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_10_Building_0519_2024.pdf,CRT Magilagam,"Ward-E,Block-21,TS No.2/3,Periyar Nagar,Erode Tk & Dt.",Non-High Rise Building (NHRB),Residential,1149.22,30,Under Construction,18/09/2028,11.335912,77.725072,22,6,3,24731214,111271043,16491620,152493877,0.00,3150.00,-,[],[],['Erode'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0301_2024.pdf,Mayflower East Gate,"Old S.F.No.418/2pt,New T.S.No.5/1,Block.07,Ward No.Z(26) of Vilankurichi Village,Coimbatore District",High Rise Building (HRB),Residential,2230.00,42,Under Construction,31/12/2026,11.2192,77.1134,27,15,42,80000000,230000000,15982769,325982769,-,6260.08,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0341_2024.pdf,TIARA,"S.F.NO:370/3,CHINNAVEDAMPATTI,COIM BATORE-641049",Non-High Rise Building (NHRB),Residential,1133,22,Under Construction,31/12/2029,110530.7,765828.1,24,0,2,3659100,30000000,2917400,36576500,-,2913.67,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0344_2024.pdf,PNR MODERNA,"SF NO 129/4B, RANI GARDEN, 3RD STREET,SINGANALLUR VILLAGE,COIMBATORE-641016",Non-High Rise Building (NHRB),Residential,719.99,14,Under Construction,28/02/2027,11.006265,77.042583,16,0,0,26016000,43747218,11130881,80894099,-,1818.3,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0353_2024.pdf,ADHYA,"Adhya, SF.NO:577/1B2A, Chinnavedampatti Village, Coimbatore North Taluk, Coimbatore Corporation, Coimbatore District.",Non-High Rise Building (NHRB),Residential,5046.84,200,Not Yet Started,01/01/2026,11.04304,76.59039,95,0,13,54450000,835820000,3000000,893270000,-,14025.1,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0361_2024.pdf,REGAL VILLAS,Villa ( Group development),Non-High Rise Building (NHRB),Residential,2348.94,18,Not Yet Started,15/03/2029,11.004030,77.024250,0,19,3,75851295,60624219,12000000,148475514,-,2022.35,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0363_2024.pdf,COROMANDEL ENCLAVE,"SF NO.398/1, WARD-34, BLOCK -1, TSNO.25/3B,UPPILIPALAYAM VILLAGE, COIMBATORE EAST, COIMBATORE",Non-High Rise Building (NHRB),Residential,10167.64,100,Under Construction,21/07/2026,1100485,7701380,64,12,00,120000000,152500000,44642575,317142575,-,5853.33,403.58,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0372_2024.pdf,Ananyas Nana Nani Homes Phase 9,Construction of residential Building,High Rise Building (HRB),Residential,36418.37,89,Not Yet Started,31/01/2029,11.054526,76.899453,178,143,22,301200000,1700000000,100000000,2101200000,-,22946.54,3460.0299999999997,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0407_2024.pdf,ICONIC EMPORIUM,"Basement Floor 1 & 2, Ground Floor + 2nd Floor + Lobby Floor + Terrace Floor commercial Multiplex building (Shop & Theater) comprised in Old S.No.:233/2, Ts.No.: 5/5 & 5/7, Block No.: 29, Ward: AR, Kumarapalayam, Perur Taluk, Coimbatore Corporation.",Non-High Rise Building (NHRB),Commercial,3764.50,,Not Yet Started,09/05/2029,105903.0,765539.4,112,7,0,263549530,0,0,263549530,0.00,0.00,7919.48,[],[],['Coimbatore'],Total_Dwelling_Units
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0422_2024.pdf,SREEVATSA POORNA,"Sreevatsa Poorna, S.F.NO: 365/2F, Vellakinaru Road, War-002, North Zone, Coimbatore",Non-High Rise Building (NHRB),Residential,4277.40,15,Not Yet Started,23/01/2029,11043792,76584368,31,4,0,46042000,205000000,11888000,262930000,-,4368.73,359.33,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0424_2024.pdf,MR RESIDENCY,APARTMENT,Non-High Rise Building (NHRB),Residential,1317.5,45,Under Construction,22/09/2028,11.04634,76.93019,28,17,0,39000000,129132180,7043300,175175480,-,3612.17,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0429_2024.pdf,MAYFLOWER EMERALD,"T.S.No.68 BLOCK No.10,WARD No.AC(29)",High Rise Building (HRB),Residential,6220,116,Not Yet Started,23/05/2030,105958.5,770029.7,171,10,0,103238000,665000000,56000000,824238000,0.00,17416.00,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0437_2024.pdf,Solitaire,"Residential Building (M/s Diamond City Developers India Private Limited) in Ts. No. 37/1 & 37/2B, Ward No. 44, Block No. 3, Kumarapalayam Village, Perur Taluk, Coimbatore District.",Non-High Rise Building (NHRB),Residential,12782.56,39,Not Yet Started,15/04/2032,11.000818,76.928997,51,75,12,20647455,260300400,19500000,300447855,-,11885.460000000001,-,[],[],['Coimbatore'],
