Source_File,Project_Name,Project_Details,Type_of_Building,Usage,Site_Extent_Sqm,Total_Dwelling_Units,Stage_of_Construction,Project_Completion_Date,Latitude,Longitude,Covered_Parking,Open_Parking,Visitor_Parking,Land_Cost,Construction_Cost,Other_Cost,Total_Project_Cost,FSI_LIG_Residential,FSI_Other_Residential,FSI_Commercial,Heights_m,Floor_mentions,Districts,_missing_fields
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_10_Building_0519_2024.pdf,CRT Magilagam,"Ward-E,Block-21,TS No.2/3,Periyar Nagar,Erode Tk & Dt.",Non-High Rise Building (NHRB),Residential,1149.22,30,Under Construction,18/09/2028,11.335912,77.725072,22,6,3,24731214,111271043,16491620,152493877,0.00,3150.00,-,[],[],['Erode'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0301_2024.pdf,Mayflower East Gate,"Old S.F.No.418/2pt,New T.S.No.5/1,Block.07,Ward No.Z(26) of Vilankurichi Village,Coimbatore District",High Rise Building (HRB),Residential,2230.00,42,Under Construction,31/12/2026,11.2192,77.1134,27,15,42,80000000,230000000,15982769,325982769,-,6260.08,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0331_2024.pdf,CASAGRAND ALPINE,"proposed construction of Residential Group Development consisting of 144 Units and Club House - Stilt Floor + 5 Upper Floors , comprised in SF No 398/2A2, 444/3A, 444/6, Annur Taluk, Keeranatham village, Coimbatore District",Non-High Rise Building (NHRB),Residential,5672.98,144,Not Yet Started,30/04/2029,110616.1,765959.1,97,2,2,12212576,203202738,23029644,238444958,-,11986.17,599.16,[],"[{'block': None, 'base_level': 'Stilt', 'floor_segments': ['5 Upper Floors'], 'total_floors_above_base': 5}]",['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0341_2024.pdf,TIARA,"S.F.NO:370/3,CHINNAVEDAMPATTI,COIM BATORE-641049",Non-High Rise Building (NHRB),Residential,1133,22,Under Construction,31/12/2029,110530.7,765828.1,24,0,2,3659100,30000000,2917400,36576500,-,2913.67,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0344_2024.pdf,PNR MODERNA,"SF NO 129/4B, RANI GARDEN, 3RD STREET,SINGANALLUR VILLAGE,COIMBATORE-641016",Non-High Rise Building (NHRB),Residential,719.99,14,Under Construction,28/02/2027,11.006265,77.042583,16,0,0,26016000,43747218,11130881,80894099,-,1818.3,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0346_2024.pdf,SHRESTHA VILLAS https://rera.tn.gov.in/public-view2/building/pfirm/80a61310-f764-11ee-8e6b-99b0290eb824,"Block1: Ground Floor + 1st Floor with 4 Villas, Block 2:Ground Floor + 1st Floor with 11 Villas, Block 3:Ground Floor + 1st Floor with 11 Villas, Block 4:Ground Floor + 1st Floor with 11 Villas, Block 11:Ground Floor + 1st Floor with 09 Villas, Block 12:Ground Floor + 1st Floor with 09 Villas, Block 17:Ground Floor + 1st Floor with 09 Villas, Block 18:Ground Floor + 1st Floor with 09 Villas, Block 23:Ground Floor + 1st Floor with 09 Villas, Block 24:Ground Floor + 1st Floor with 09 Villas, Block 27:Ground Floor + 1st Floor with 12 Villas, Block 28:Ground Floor + 1st Floor with 09 Villas, Block 29:Ground Floor + 1st Floor with 09 Villas, Block 30:Ground Floor + 1st Floor with 09 Villas, Block 31:Ground Floor + 1st Floor with 09 Villas, Block 32:Ground Floor + 1st Floor with 12 Villas, Block 33:Ground Floor + 1st Floor with 09 Villas, Block 34:Ground Floor + 1st Floor with 09",Non-High Rise Building (NHRB),Residential 1/8,81550,400,Under Construction,30/11/2024,10.511,10.574,246,0,0,1200000000,0,0,1200000000,-,16100,-,[],"[{'block': 'Block 2', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 3', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 4', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 11', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 12', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 17', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 18', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 23', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 24', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 27', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 28', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 29', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 30', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 31', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 32', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 33', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 34', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}]",['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0353_2024.pdf,ADHYA,"Adhya, SF.NO:577/1B2A, Chinnavedampatti Village, Coimbatore North Taluk, Coimbatore Corporation, Coimbatore District.",Non-High Rise Building (NHRB),Residential,5046.84,200,Not Yet Started,01/01/2026,11.04304,76.59039,95,0,13,54450000,835820000,3000000,893270000,-,14025.1,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0361_2024.pdf,REGAL VILLAS,Villa ( Group development),Non-High Rise Building (NHRB),Residential,2348.94,18,Not Yet Started,15/03/2029,11.004030,77.024250,0,19,3,75851295,60624219,12000000,148475514,-,2022.35,-,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0363_2024.pdf,COROMANDEL ENCLAVE,"SF NO.398/1, WARD-34, BLOCK -1, TSNO.25/3B,UPPILIPALAYAM VILLAGE, COIMBATORE EAST, COIMBATORE",Non-High Rise Building (NHRB),Residential,10167.64,100,Under Construction,21/07/2026,1100485,7701380,64,12,00,120000000,152500000,44642575,317142575,-,5853.33,403.58,[],[],['Coimbatore'],
V:\Project\Project_Stick\data_source\raw\TNRERA\2024\TN_11_Building_0372_2024.pdf,Ananyas Nana Nani Homes Phase 9,Construction of residential Building,High Rise Building (HRB),Residential,36418.37,89,Not Yet Started,31/01/2029,11.054526,76.899453,178,143,22,301200000,1700000000,100000000,2101200000,-,22946.54,3460.0299999999997,[],[],['Coimbatore'],
