Project_Name,Project_Registration_No,Project_Details,Districts,Latitude,Longitude,Usage,Type_of_Building,Site_Extent_Sqm,FSI_LIG_Residential,FSI_Other_Residential,FSI_Commercial,Total_Dwelling_Units,Land_Cost,Construction_Cost,Other_Cost,Total_Project_Cost,Covered_Parking,Open_Parking,Visitor_Parking,Floor_mentions,Heights_m,FE_Site_Extent_Sqft,FE_Total_FSI_Area_Sqft,FE_FSI,FE_Permissable_FSI,FE_Max_Premium_FSI,FE_Total_Parking,FE_Land_Cost_per_Sqft,FE_Construction_Cost_per_Sqft,FE_Total_Project_Cost_per_Sqft,FE_Land_Cost_Ratio,FE_Construction_Cost_Ratio,FE_Cost_Per_Dwelling_Unit,FE_Average_Unit_Size_Sqft
CRT Magilagam,TN/10/Building/0519/2024,"Ward-E,Block-21,TS No.2/3,Periyar Nagar,Erode Tk & Dt.",Erode,11.335912,77.725072,Residential,Non-High Rise Building (NHRB),1149,0,3150,,30,24731214,111271043,16491620,152493877,22,6,3,[],[],12370,33906,2.74,2.0,2.0,31,1999,3282,4498,0.16,0.73,5083129,1130
Mayflower East Gate,TN/11/Building/0301/2024,"Old S.F.No.418/2pt,New T.S.No.5/1,Block.07,Ward No.Z(26) of Vilankurichi Village,Coimbatore District",Coimbatore,11.2192,77.1134,Residential,High Rise Building (HRB),2230,,6260,,42,80000000,230000000,15982769,325982769,27,15,42,[],[],24003,67383,2.81,2.0,4.87,84,3333,3413,4838,0.25,0.71,7761494,1604
CASAGRAND ALPINE,TN/11/Building/0331/2024,"proposed construction of Residential Group Development consisting of 144 Units and Club House - Stilt Floor + 5 Upper Floors , comprised in SF No 398/2A2, 444/3A, 444/6, Annur Taluk, Keeranatham village, Coimbatore District",Coimbatore,110616.1,765959.1,Residential,Non-High Rise Building (NHRB),5673,,11986,599,144,12212576,203202738,23029644,238444958,97,2,2,"[{'block': None, 'base_level': 'Stilt', 'floor_segments': ['5 Upper Floors'], 'total_floors_above_base': 5}]",[],61063,135467,2.22,2.0,2.0,101,200,1500,1760,0.05,0.85,1655868,896
TIARA,TN/11/Building/0341/2024,"S.F.NO:370/3,CHINNAVEDAMPATTI,COIM BATORE-641049",Coimbatore,110530.7,765828.1,Residential,Non-High Rise Building (NHRB),1133,,2914,,22,3659100,30000000,2917400,36576500,24,0,2,[],[],12195,31362,2.57,2.0,2.0,26,300,957,1166,0.1,0.82,1662568,1426
PNR MODERNA,TN/11/Building/0344/2024,"SF NO 129/4B, RANI GARDEN, 3RD STREET,SINGANALLUR VILLAGE,COIMBATORE-641016",Coimbatore,11.006265,77.042583,Residential,Non-High Rise Building (NHRB),720,,1818,,14,26016000,43747218,11130881,80894099,16,0,0,[],[],7750,19572,2.53,2.0,2.0,16,3357,2235,4133,0.32,0.54,5778150,1398
SHRESTHA VILLAS https://rera.tn.gov.in/public-view2/building/pfirm/80a61310-f764-11ee-8e6b-99b0290eb824,TN/11/Building/0346/2024,"Block1: Ground Floor + 1st Floor with 4 Villas, Block 2:Ground Floor + 1st Floor with 11 Villas, Block 3:Ground Floor + 1st Floor with 11 Villas, Block 4:Ground Floor + 1st Floor with 11 Villas, Block 11:Ground Floor + 1st Floor with 09 Villas, Block 12:Ground Floor + 1st Floor with 09 Villas, Block 17:Ground Floor + 1st Floor with 09 Villas, Block 18:Ground Floor + 1st Floor with 09 Villas, Block 23:Ground Floor + 1st Floor with 09 Villas, Block 24:Ground Floor + 1st Floor with 09 Villas, Block 27:Ground Floor + 1st Floor with 12 Villas, Block 28:Ground Floor + 1st Floor with 09 Villas, Block 29:Ground Floor + 1st Floor with 09 Villas, Block 30:Ground Floor + 1st Floor with 09 Villas, Block 31:Ground Floor + 1st Floor with 09 Villas, Block 32:Ground Floor + 1st Floor with 12 Villas, Block 33:Ground Floor + 1st Floor with 09 Villas, Block 34:Ground Floor + 1st Floor with 09",Coimbatore,10.511,10.574,Residential,Non-High Rise Building (NHRB),81550,,16100,,400,1200000000,0,0,1200000000,246,0,0,"[{'block': 'Block 2', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 3', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 4', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 11', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 12', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 17', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 18', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 23', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 24', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 27', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 28', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 29', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 30', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 31', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 32', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 33', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}, {'block': 'Block 34', 'base_level': 'Ground', 'floor_segments': ['1st Floor'], 'total_floors_above_base': 1}]",[],877796,173299,0.2,2.0,2.0,246,1367,0,6924,1.0,0.0,3000000,433
ADHYA,TN/11/Building/0353/2024,"Adhya, SF.NO:577/1B2A, Chinnavedampatti Village, Coimbatore North Taluk, Coimbatore Corporation, Coimbatore District.",Coimbatore,11.04304,76.59039,Residential,Non-High Rise Building (NHRB),5047,,14025,,200,54450000,835820000,3000000,893270000,95,0,13,[],[],54324,150965,2.78,2.0,2.0,108,1002,5537,5917,0.06,0.94,4466350,755
REGAL VILLAS,TN/11/Building/0361/2024,Villa ( Group development),Coimbatore,11.00403,77.02425,Residential,Non-High Rise Building (NHRB),2349,,2022,,18,75851295,60624219,12000000,148475514,0,19,3,[],[],25284,21768,0.86,2.0,2.0,22,3000,2785,6821,0.51,0.41,8248640,1209
COROMANDEL ENCLAVE,TN/11/Building/0363/2024,"SF NO.398/1, WARD-34, BLOCK -1, TSNO.25/3B,UPPILIPALAYAM VILLAGE, COIMBATORE EAST, COIMBATORE",Coimbatore,1100485.0,7701380.0,Residential,Non-High Rise Building (NHRB),10168,,5853,404,100,120000000,152500000,44642575,317142575,64,12,0,[],[],109443,67349,0.62,2.0,2.0,76,1096,2264,4709,0.38,0.48,3171426,630
Ananyas Nana Nani Homes Phase 9,TN/11/Building/0372/2024,Construction of residential Building,Coimbatore,11.054526,76.899453,Residential,High Rise Building (HRB),36418,,22947,3460,89,301200000,1700000000,100000000,2101200000,178,143,22,[],[],392004,284238,0.73,2.0,4.87,343,768,5981,7392,0.14,0.81,23608989,2775
